stock_name,final_score,sentiment_score,technical_score,frequency_score,bert_score,news_count,date_range,avg_freshness,rating
켈로그,60.303623058273395,56.51816466612729,54.883050847457625,86.34387351778656,39.626672340278816,44,2025-05-21 ~ 2025-07-28,0.591577540106952,✅ 호재
스테이트 스트리트,60.2676688156143,50.81546430536778,66.39350912778905,79.11310125668064,42.008101037943426,43,2025-06-25 ~ 2025-07-30,0.32757475083056475,✅ 호재
A주,60.239586224530015,65.06104698721356,52.07722513089004,72.02102245580507,41.87795399216565,39,2025-04-02 ~ 2025-07-27,0.42219274977895677,✅ 호재
브리스톨-마이어스 스퀴브,60.15392150598609,83.2255937604732,51.9919028340081,35.14547237659366,42.370186762756425,19,2025-06-01 ~ 2025-07-23,0.4999999999999999,✅ 호재
디어,60.143156572043864,62.21809523812345,54.51437699680511,74.02363278291169,40.968788211706034,41,2025-06-26 ~ 2025-07-29,0.4626755358462675,✅ 호재
달러 트리,60.05986595078433,50.238584392350106,63.01628052598623,84.25258799171841,42.09030437704729,45,2025-04-27 ~ 2025-07-27,0.38998778998778993,✅ 호재
마이크로칩 테크놀로지,60.01757796289016,63.348802517030016,52.97545295149036,73.11801242236024,41.61818586159003,40,2025-03-31 ~ 2025-07-15,0.40353773584905656,✅ 호재
제이피모간 체이스,60.01711962434853,53.84282685006363,59.60673920377868,82.4802371541502,41.019196923594215,44,2024-01-07 ~ 2025-07-16,0.48463047743623283,✅ 호재
파이낸셜 서비스 그룹,60.0119356585658,55.67529292223159,60.595149253731336,76.96687370600414,41.698989723529316,42,2025-06-25 ~ 2025-07-29,0.3753501400560224,✅ 호재
워크데이,59.953682045194995,68.20909409974574,51.643389830508475,64.97565888870237,41.81895678403678,37,2025-05-28 ~ 2025-07-29,0.6429816913687881,😐 약간 호재
세일즈포스닷컴,59.85648271643884,57.7226490505444,53.518584312653736,82.4802371541502,42.158003715949135,44,2024-04-22 ~ 2025-06-24,0.3885938827527612,😐 약간 호재
뱅크 오브 뉴욕 멜론,59.843181901969736,46.640795877887285,59.33015267175573,96.25714285714287,41.363891778595246,50,2024-05-31 ~ 2025-07-16,0.49722627737226277,😐 약간 호재
델 테크놀로지스,59.83814202574461,60.49195781923942,56.13787281935848,73.36801242236024,41.26394567769252,40,2025-04-04 ~ 2025-07-23,0.4038636363636363,😐 약간 호재
인더스트리즈,59.83298843896619,57.971468187745955,49.91969086021506,88.04347826086956,40.597982536293756,46,2024-07-13 ~ 2025-07-30,0.5080810380150238,😐 약간 호재
퀄컴,59.602149292340556,69.93375564422628,49.99999999999998,62.094547964113175,42.09737441827412,36,2025-07-23 ~ 2025-07-29,0.6111111111111112,😐 약간 호재
프로로지스,59.54659997015466,53.41130732369757,51.91512622794969,92.06290471785384,41.949582287199554,47,2024-08-06 ~ 2025-06-23,0.6274938688937497,😐 약간 호재
코스트코 홀세일,59.46226971235596,46.20606684439643,56.29720349067831,99.90175042348956,41.103318426959866,55,2024-11-18 ~ 2025-06-16,0.43653679653679656,😐 약간 호재
뱅코프,59.338068914285,49.3853268363821,52.277433877321315,98.59335038363172,41.82037939809417,51,2024-09-19 ~ 2025-07-05,0.36169346631386123,😐 약간 호재
젠 디지털,59.307372239487854,66.35871421858462,56.268275428391746,59.04347826086956,40.74708271362574,35,2024-07-17 ~ 2025-07-26,0.48594346829640955,😐 약간 호재
부킹 홀딩스,59.14461526437019,50.22548958130533,58.43207792207793,86.73913043478261,41.76969968268152,46,2024-05-16 ~ 2025-07-21,0.38837889639866835,😐 약간 호재
하우멧 에어로스페이스,59.132044960801835,56.03882353001076,66.33220512820515,63.20565907522428,41.75722195291126,36,2024-02-14 ~ 2025-07-06,0.5331364829396325,😐 약간 호재
프로그레시브,58.984721314906004,58.76217140562258,55.4808638600328,73.61801242236024,41.11991110175081,40,2024-08-07 ~ 2025-07-23,0.39192857142857146,😐 약간 호재
메트라이프,58.98039116795926,49.52719176588414,50.26507782101167,100.0,40.89991115302105,51,2025-04-13 ~ 2025-07-25,0.5870930896630496,😐 약간 호재
트레인 테크놀로지,58.95204047681772,74.26067890953307,64.09060402684565,29.316770186335404,41.57233667683713,14,2025-04-09 ~ 2025-07-27,0.5858453473132371,😐 약간 호재
체사피크 에너지,58.948910050490575,71.73118408548527,50.01381716678297,55.19668737060042,42.12953792141482,33,2024-01-10 ~ 2025-04-30,0.4561370002546473,😐 약간 호재
시그나,58.76942429671537,61.16900153031298,49.96264838313549,75.97485229510681,41.1805871062817,41,2024-09-09 ~ 2025-07-16,0.3844217151848938,😐 약간 호재
해리스 테크놀로지스,58.71988101650541,60.9587533353006,53.639761570827474,70.48256091734352,41.47939027668231,39,2024-02-19 ~ 2025-06-30,0.3678481143269876,😐 약간 호재
듀크 에너지,58.71203950500852,59.68240795173157,53.71747395099972,72.86801242236024,41.502316545439314,40,2024-04-01 ~ 2025-07-18,0.37536997885835094,😐 약간 호재
포티넷,58.69944877957414,59.139455259827905,59.42887077997673,65.5161994292429,41.11765555801387,37,2024-05-20 ~ 2025-07-18,0.5475522692503826,😐 약간 호재
페이팔 홀딩스,58.662618013230556,54.06444785719205,54.81361588519941,82.13635707063412,41.654826906670934,43,2024-01-02 ~ 2025-05-26,0.5465572275421797,😐 약간 호재
코닝,58.64751847358859,69.150304717764,62.81333333333333,40.41987577639752,40.59421431203486,25,2025-06-16 ~ 2025-07-30,0.40909090909090906,😐 약간 호재
헬스케어,58.5257421787817,65.86894619364088,42.5,76.63640707118968,41.00882287087408,39,2025-07-28 ~ 2025-07-29,0.7692307692307693,😐 약간 호재
인텔,58.49909006286258,63.107089720293686,48.81363636363638,72.27743271221532,41.56676723211126,39,2025-07-24 ~ 2025-07-29,0.5641025641025639,😐 약간 호재
무디스,58.42144797320053,54.421939796192746,51.107081174438704,86.0303657694962,41.144745484925835,45,2025-07-02 ~ 2025-07-29,0.47654320987654325,😐 약간 호재
이베이,58.399316352599,55.76686014508254,56.19444444444444,74.99924253900924,42.34390453430796,41,2025-06-24 ~ 2025-07-27,0.43902439024390244,😐 약간 호재
오토데스크,58.375686596213974,62.60129910710308,53.82317699418007,65.5161994292429,40.84973969270146,37,2024-07-10 ~ 2025-07-27,0.4133295599264185,😐 약간 호재
뉴코어,58.3123125570194,49.81984586186071,47.549782826595404,99.73775017253278,41.71889329789941,54,2025-01-13 ~ 2025-06-16,0.3599086099086098,😐 약간 호재
맥케슨,58.2948816113818,81.02255831647959,52.05896226415097,30.08695652173913,42.507783011968456,15,2024-09-08 ~ 2025-07-29,0.5670781893004114,😐 약간 호재
처브,58.223979802530785,51.706416681827626,50.0626227897839,92.46765010351966,40.29096272160634,48,2024-12-11 ~ 2025-07-16,0.586405529953917,😐 약간 호재
맥도날드,58.185120170037166,55.82943137368029,50.79295154185022,82.4802371541502,41.19414727179931,44,2025-07-17 ~ 2025-07-29,0.42992424242424243,😐 약간 호재
쉐브론,58.159902217587415,51.374691750468436,50.163360560093345,92.10292812777286,41.40431723817466,49,2024-11-07 ~ 2025-07-18,0.41477776881503586,😐 약간 호재
스카이웍스 솔루션,58.08945259339034,65.15542599691058,46.69218784776319,69.29998321302669,41.59629197691807,37,2024-04-28 ~ 2025-03-30,0.7228120978120978,😐 약간 호재
인터내셔널 페이퍼,58.064292554524876,56.55420205308356,68.3157704364601,54.29850200949945,40.88180200453528,34,2024-01-21 ~ 2025-06-18,0.47459372854200044,😐 약간 호재
머크,58.001872508054404,60.08720378224474,47.29752066115702,78.15734989648033,41.462648175133346,42,2025-07-12 ~ 2025-07-29,0.5084033613445379,😐 약간 호재
애플,57.92105482191704,54.672062679556376,53.0,80.04333381482016,41.43562987130461,43,2025-07-28 ~ 2025-07-29,0.20930232558139536,😐 약간 호재
팔로 알토 네트웍스,57.7193716062147,53.4670412105853,50.361921097770164,85.36369910282953,41.51238972083624,45,2025-02-16 ~ 2025-07-15,0.5217002237136465,😐 약간 호재
도어대시,57.61783503520617,57.293506115883744,67.85673624288427,50.8944099378882,41.64529728409749,30,2025-04-14 ~ 2025-07-24,0.5217821782178217,😐 약간 호재
써모 피셔 사이언티픽,57.592000026317535,68.47024946690885,43.3412462908012,65.24592915897263,41.523405205191104,37,2025-02-10 ~ 2025-07-19,0.4582695903450619,😐 약간 호재
오토매틱 데이터 프로세싱,57.58433728763529,42.89974713468306,54.39999999999999,100.0,41.04438433762073,56,2025-06-03 ~ 2025-07-08,0.3979591836734694,😐 약간 호재
암젠,57.57657490885081,80.64850845734986,51.27272727272725,28.753623188405797,41.8462870641153,15,2025-07-03 ~ 2025-07-27,0.45833333333333337,😐 약간 호재
록히드 마틴,57.569143312784256,64.62527989452155,47.71270718232044,66.32701024005371,41.398171522687605,37,2025-07-06 ~ 2025-07-29,0.6380728554641598,😐 약간 호재
케이던스 디자인 시스템즈,57.40685140350037,53.68298656563532,54.14025423728815,77.20496894409938,42.5058671723992,42,2025-03-12 ~ 2025-07-05,0.2443064182194617,😐 약간 호재
듀폰,57.387667780770855,55.01102823808284,53.470473718364694,76.25258799171843,40.915967716846254,42,2025-04-05 ~ 2025-07-30,0.3162972085385879,😐 약간 호재
월마트,57.18093588782114,50.195891959168115,54.5,83.16205533596839,41.201680369602215,44,2025-07-17 ~ 2025-07-28,0.4421487603305785,😐 약간 호재
헬스케어 테크놀로지,57.14487935609186,69.38761882316143,51.193684210526314,49.56107660455486,41.19511242758417,30,2025-06-26 ~ 2025-07-28,0.4947916666666667,😐 약간 호재
이콜랩,57.04045051389451,54.60350780161962,53.13451890342232,75.73094985608242,41.12501751003481,41,2024-03-12 ~ 2025-07-18,0.5522188690446743,😐 약간 호재
시높시스,57.03434656654306,56.13585918880109,52.7062937062937,73.11801242236024,41.44512294662467,40,2025-02-20 ~ 2025-07-25,0.32290322580645164,😐 약간 호재
시스코,56.98452654358839,60.70004179506712,51.03684210526316,66.58058188950638,40.773408160813176,38,2025-06-19 ~ 2025-07-28,0.3846153846153846,😐 약간 호재
앰코,56.964474477606565,59.60152927265513,51.885157699443425,67.3700555737169,40.8430434396811,38,2025-02-16 ~ 2025-07-20,0.4605263157894736,😐 약간 호재
센터포인트 에너지,56.938450302778485,54.32862181200227,55.93951612903224,71.2517916865743,41.74788401953043,39,2025-07-16 ~ 2025-07-30,0.4542124542124543,😐 약간 호재
메타 플랫폼스(페이스북),56.92996723375044,55.872866703656236,58.115825688073414,64.97565888870237,41.50941068125446,37,2025-02-07 ~ 2025-07-24,0.28224631817446183,😐 약간 호재
퍼스트에너지,56.91904721876334,53.30213589291355,50.36795994993742,81.79841897233202,41.28121082150284,44,2025-06-17 ~ 2025-07-30,0.4223044397463002,😐 약간 호재
킴벌리-클라크,56.65358085843821,49.73774676002682,49.82558905312453,88.91925465838509,40.26954506813104,45,2024-01-01 ~ 2025-06-19,0.5676427829698858,😐 약간 호재
다우,56.53044457019358,50.22395563698285,41.0,100.0,41.40862315400437,51,2025-07-30 ~ 2025-07-30,1.0,😐 약간 호재
오라클,56.37837137945969,52.64260700048933,74.55645161290323,43.92857142857142,41.68678809678707,28,2025-07-21 ~ 2025-07-27,0.369047619047619,😐 약간 호재
치폴레 멕시칸 그릴,56.26082583192566,44.995981409752815,51.065112876254176,93.85714285714286,41.71470833719712,50,2024-09-24 ~ 2025-07-28,0.31166123778501637,😐 약간 호재
보잉,56.18565666892294,53.908373489635785,62.81818181818181,58.75776397515527,40.25299932583026,35,2025-07-27 ~ 2025-07-29,0.4714285714285714,😐 약간 호재
캐리어 글로벌,56.10537311755193,63.870733067720394,56.78804347826086,47.16855857785393,40.86955131414726,29,2025-06-17 ~ 2025-07-29,0.4532019704433498,😐 약간 호재
다나허,56.066857276776076,67.78260867956223,46.9004196871423,53.54838709677419,41.74010479453652,31,2024-01-03 ~ 2025-06-25,0.47058471482434616,😐 약간 호재
글로벌 페이먼츠,56.00929805055426,61.19811335206717,48.77856648199447,63.76121463077984,41.44239838973084,36,2024-09-30 ~ 2025-07-13,0.5609945609945609,😐 약간 호재
리제네론 파마슈티컬스,55.91248325833499,73.89926316342745,49.72657521506627,36.35093167701863,41.64619093040397,20,2024-01-08 ~ 2025-05-19,0.43269617706237423,😐 약간 호재
페어 아이작,55.8426082881684,57.945040587519735,67.67824870912222,40.757286192068804,42.09660202010079,26,2024-05-21 ~ 2025-07-12,0.42870319129311935,😐 약간 호재
로크웰 오토메이션,55.84118509400893,66.04236721250714,49.65133634154809,51.8944099378882,41.49955318964006,30,2024-04-23 ~ 2025-07-22,0.633186813186813,😐 약간 호재
넷플릭스,55.732054748998884,50.84055761651027,56.0,72.02102245580507,41.91627211233759,39,2025-07-27 ~ 2025-07-29,0.46153846153846156,😐 약간 호재
워터스,55.700273559083044,46.39223267863299,50.36167810301397,89.34782608695652,41.65311839334354,46,2024-04-17 ~ 2025-07-24,0.5405671894074561,😐 약간 호재
웰스 파고,55.643726238544744,48.56883213102363,57.625,73.53582790486291,42.21527805162705,41,2025-07-15 ~ 2025-07-28,0.2401500938086304,😐 약간 호재
포드 모터,55.58061936266342,52.58437170791178,53.997048406139314,70.73897117375378,41.999619229061544,39,2025-04-14 ~ 2025-07-13,0.48262108262108266,😐 약간 호재
로얄 캐리비안 크루즈,55.57323380422644,51.98298787577895,74.2970041322314,41.44151138716356,42.0263513681273,24,2024-06-24 ~ 2025-07-13,0.6302083333333334,😐 약간 호재
윌리엄스,55.49209467901781,46.930303358504325,52.902535657686215,83.58592132505176,41.32028373299861,45,2025-06-19 ~ 2025-07-29,0.35055555555555556,😐 약간 호재
디지털 리얼티,55.44181443851666,56.90705940221793,56.46704067321177,57.90062111801242,41.58754252063475,35,2024-05-21 ~ 2025-07-20,0.4793277310924371,😐 약간 호재
코인베이스 글로벌,55.40620517163143,53.76901924460192,70.03571428571428,43.4495938843765,41.97964411201067,26,2025-07-16 ~ 2025-07-28,0.5384615384615384,😐 약간 호재
아메리프라이즈 파이낸셜,55.345828929641954,48.3941658773095,53.73539754695943,77.92607180730194,42.823289531699366,41,2024-01-21 ~ 2025-07-13,0.5275804335037785,😐 약간 호재
벡톤 디킨슨,55.277658174990066,81.90026269418179,48.60938864628822,18.898927159796727,41.54951071471537,11,2024-03-06 ~ 2025-06-30,0.43281043281043274,😐 약간 호재
델타 에어 라인,55.271075077132515,55.739861424972375,56.94237739872069,58.75776397515527,41.40864492496307,35,2024-01-01 ~ 2025-07-21,0.47266313932980597,😐 약간 호재
트림블,55.186313279324565,67.21852695901286,65.81440903054448,21.626199887069454,42.29339809142185,11,2024-04-02 ~ 2025-07-09,0.5913999607304143,😐 약간 호재
태피스트리,55.159990064712886,48.68758638388047,66.61255358236374,57.90062111801242,41.21065212849093,35,2024-04-22 ~ 2025-07-22,0.5115914786967419,😐 약간 호재
롤린스,55.129794144092244,44.3290592470747,52.07420872540632,87.39130434782608,42.97646958075244,46,2025-03-06 ~ 2025-07-27,0.35542718151413805,😐 약간 호재
리퍼블릭 서비스,55.10433506185757,52.42065253206451,56.08527799530148,65.78646969951318,41.531967105386855,37,2024-04-11 ~ 2025-05-26,0.42089650626236,😐 약간 호재
홈 디포,55.10403697684967,53.62554597638645,50.71169686985172,71.50820194298456,41.38669136742666,39,2025-05-20 ~ 2025-07-25,0.47163947163947173,😐 약간 호재
파라마운트 글로벌,55.0499052817516,61.78500907556904,53.81181857828173,50.56107660455486,40.801407571284834,30,2025-02-22 ~ 2025-07-21,0.5129753914988814,😐 약간 호재
처치 앤 드와이트,55.037363232633666,71.0566340078574,51.74084177708495,35.671788166067344,39.580994631517505,19,2024-03-19 ~ 2025-05-13,0.4823308270676693,😐 약간 호재
퍼블릭 스토리지,55.03602777898663,73.90079951816084,49.9382298709281,31.70031055900621,41.54176898642624,16,2024-04-28 ~ 2025-05-25,0.518813775510204,😐 약간 호재
컴캐스트,55.01816723713639,45.11082578354862,50.33850329585111,88.69565217391305,41.33155500179001,46,2024-11-02 ~ 2025-07-16,0.43800951086956524,😐 약간 호재
